대피소,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
지리산 장터목,지리산 장터목 대피소 예약 천왕봉 코스,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",100만원 미만,아니오,          ,단독주택,경기,포천시,신읍동,
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),M,4,,,      ,          ,,서울,종로구,연건동,
지리산 장터목,지리산 장터목대피소 예약 성공 백무동 중산리코스,M,2,,,      ,          ,,부산,동구,범일2동,
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,F,2,,,      ,          ,,경기,시흥시,대야동,
한라산 윗세,[제주 한라산] 영실 - 윗세오름대피소 - 어리목,M,3,,,      ,          ,,서울,강동구,둔촌1동,
지리산 피아골,지리산 피아골 대피소 가는길,M,4,,,      ,          ,,서울,강남구,역삼동,
설악산 중청,설악산 중청대피소 단계적 폐쇄,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,예    ,자녀 있음 ,오피스텔,인천,동구,송현동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
지리산 노고단,#오스프리 #AURA #xCREW #기어리뷰어 지리산 노고단 대피소 1박 2일 _2018 12 01_02,M,3,,,      ,          ,,서울,강남구,개포1동,
한라산 진달래밭,10. 한라산(1) - 성판악에서 진달래밭대피소까지 [2019 제주도 여행기],M,4,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,아니오,          ,단독주택,서울,강북구,수유3동,
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),F,3,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,양평동5가,
설악산 소청,설악산 백담사~소청대피소 (5/19~21)/ 첫째날,M,2,무직,200~299만원,아니오,          ,아파트/ 주상복합,경기,동두천시,하봉암동,
지리산 세석,지리산/백무동에서 세석대피소,M,4,,,      ,          ,,대구,중구,동성로3가,
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,3,,,      ,          ,,경기,화성시,동탄면,"경차 (모닝, 스파크 등)"
한라산 윗세,[서귀포시_2019.08.13] 영실 휴게소 병풍바위 윗세오름 대피소 한라산 남벽분기점,F,2,,,      ,          ,,경기,수원시 권선구,권선동,
설악산 소청,설악산 백담사~소청대피소 (5/19~21)/ 첫째날,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,부평구,부평1동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
설악산 희운각,설악산 운해 1박2일(오색-대청봉-희운각대피소-공룡능선-마등령-비선대-설악동),M,5,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,판교동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
한라산 윗세,[제주 한라산] 영실 - 윗세오름대피소 - 어리목,M,3,,,      ,          ,,서울,서초구,서초1동,
지리산 피아골,지리산 피아골 대피소 가는길,F,4,"교직 (교사, 유치원교사, 학원강사)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계2.3동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
한라산 진달래밭,12/4 한라산 등반 진달래밭 대피소에서 정상 백록담까지,M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,서울,중구,신당5동,
덕유산 향적봉,덕유산 향적봉대피소 기적의 1박,F,5,,,      ,          ,,서울,도봉구,방학3동,
지리산 세석,[지리산 국립공원] 지리산 세석대피소 처음 이용자를 위한 소개(정보)글,M,4,,,      ,          ,,경남,창원시 진해구,경화동,
지리산 세석,지리산 세석대피소 1박2일,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,강원,춘천시,후평1동,
설악산 수렴동,<설악산 등산> 백담사- 영시암-수렴동대피소-봉정남,M,2,무직,200~299만원,아니오,          ,아파트/ 주상복합,경기,동두천시,하봉암동,
북한산 대피소,북한산 산성입구~중흥사~북한산대피소~백운봉암문~밤골(190803). ,M,2,무직,100만원 미만,아니오,          ,단독주택,충북,충주시,안림동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
한라산 윗세,[한라산] 영실~윗세오름 대피소 (2019.2.5),M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,시흥1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
소백산 연화봉,소백산 제2연화봉 대피소의 모든 것,M,3,,,      ,          ,,서울,중랑구,면목4동,
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),M,5,"전문직 (의사, 판검사, 예술가, 종교인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,광진구,광장동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
한라산 윗세,[서귀포시_2019.08.13] 영실 휴게소 병풍바위 윗세오름 대피소 한라산 남벽분기점,F,3,,,      ,          ,,경기,안양시 동안구,관양동,
북한산 대피소,20190421 북한산 진달래능선 - 북한산대피소 - 산성입구,M,3,,,      ,          ,,대전,중구,오류동,
지리산 장터목,지리산 장터목대피소 블약 100대명산 천왕봉,F,4,,,      ,          ,,서울,은평구,응암2동,
지리산 치밭목,2018-07-18 지리산 새재마을~치밭목대피소,M,4,,,      ,          ,,광주,광산구,신가동,
한라산 탐라계곡,한라산(관음사 탐방 안내소~탐라계곡 대피소~삼각봉 대피소~한라산~진달래 밭 대피소~속밭 대피소~성판악. 180831.금),F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,신천동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
북한산 대피소,북한산 산성입구~중흥사~북한산대피소~백운봉암문~밤골(190803). ,M,4,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,광진구,광장동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
덕유산 향적봉,덕유산 눈꽃 겨울여행2 / 향적봉 일출 향적봉대피소,F,4,,,      ,          ,,서울,양천구,신정동,
한라산 진달래밭,한라산(성판악~사라오름~진달래대피소~백록담~관음사)2019.01.29,M,4,,,      ,          ,,경남,창원시 진해구,경화동,
설악산 양폭,설악산(소공원에서 양폭대피소까지) 2018.6.12,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,당진군,송산면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,3,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,서울,송파구,잠실동,"경차 (모닝, 스파크 등)"
한라산 진달래밭,제주 한라산 성판악-속밭쉼터-진달래밭 대피소...제주도,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,동작구,사당1동,"경차 (모닝, 스파크 등)"
설악산 중청,설악산 중청대피소 하룻밤의 추억,F,2,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,전남,여수시,신기동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
지리산 세석,[지리산 국립공원] 지리산 세석대피소 처음 이용자를 위한 소개(정보)글,M,4,,,      ,          ,,전북,남원시,내척동,
지리산 연하천,지리산 종주<2일차> : 연하천-세석대피소,M,5,무직,200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,구미시,산동면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
설악산 중청,설악산 대청봉 중청대피소 숙박,M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,단독주택,대전,서구,갈마동,
지리산 장터목,지리산 장터목대피소 예약 성공 백무동 중산리코스,M,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,단독주택,대전,서구,갈마동,
소백산 연화봉,소백산(제2연화봉 대피소),M,5,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,미성동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
덕유산 향적봉,덕유산 향적봉대피소 예약하기(컴),M,3,,,      ,          ,,서울,성북구,정릉2동,
설악산 중청,설악산 대청봉 1박 일출 산행 (중청대피소 3대의 덕),M,4,,,      ,          ,,경기,남양주시,별내면,
한라산 진달래밭,한라산 겨울 산행 / 진달래 대피소 / 한라산 백록담,M,2,무직,200~299만원,아니오,          ,아파트/ 주상복합,충남,천안시 서북구,쌍용3동,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),M,2,,,      ,          ,,경기,남양주시,별내면,
덕유산 삿갓골재,덕유산 육십령 ~ 삿갓재대피소 ~ 황점마을(201908310901),F,3,,,      ,          ,,서울,강동구,강일동,
지리산 세석,지리산 세석대피소에서 장터목대피소을 향해,F,4,"교직 (교사, 유치원교사, 학원강사)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,양천구,신정3동,
지리산 노고단,지리산 노고단 대피소의 하룻밤,M,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,달서구,유천동,
설악산 중청,설악산 중청대피소 판매 물품 및 상세 이용 정보,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,정왕4동,"경차 (모닝, 스파크 등)"
소백산 연화봉,겨울 소백산 1박2일 천동 에서 죽령 휴게소 까지 (제2 연화봉 대피소),F,5,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,북구,일곡동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
한라산 진달래밭,한라산(관음산 탐방지원센터~삼각봉대피소~한라산~진달래밭 대피소~사라오름~쑥밭 대피소~성판악 탐방지원 센터. 190804. 일),F,5,,,      ,          ,,서울,금천구,가산동,
지리산 피아골,지리산 피아골 대피소 가는길,F,3,,,      ,          ,,부산,금정구,부곡2동,
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),M,2,,,      ,          ,,서울,중구,회현동1가,
지리산 노고단,#오스프리 #AURA #xCREW #기어리뷰어 지리산 노고단 대피소 1박 2일 _2018 12 01_02,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,역삼2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
북한산 대피소,북한산 대피소 / 19.10.24,F,2,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,수원시 권선구,구운동,
북한산 대피소,20190421 북한산 진달래능선 - 북한산대피소 - 산성입구,F,3,,,      ,          ,,경기,부천시 원미구,중4동,
지리산 세석,[지리산 국립공원] 지리산 세석대피소 처음 이용자를 위한 소개(정보)글,M,4,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,송파1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
설악산 중청,설악산 중청대피소 단계적 폐쇄,M,2,,,      ,          ,,강원,춘천시,퇴계동,
한라산 삼각봉,제주도 한라산 5 산우물 4월 산행 한라산 삼각봉 대피소 개미등 탐라계곡 육교 관음사,M,5,,,      ,          ,,서울,마포구,동교동,
소백산 연화봉,[등산 No.17] 소백산 산행(연화봉대피소) 천동/비로봉/죽령(18/01/27 ~28일),F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,광진구,중곡4동,
북한산 대피소,용암사지터(북한산대피소),M,4,,,      ,          ,,경기,안양시 만안구,안양8동,
지리산 장터목,지리산 장터목 대피소 예약 천왕봉 코스,M,4,,,      ,          ,,서울,서초구,내곡동,
지리산 노고단,지리산 노고단 대피소 숙박하고 정상까지 - 아이와 함께,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,당진군,송산면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
