주변관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
대관령어흘리,대관령 어흘리 100년 소나무 숲길  대관령 치유의 숲길,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,가산동,"스포츠 (제네시스 쿠페, BMW M, 벤츠 AMG 등)"
홍천온천,홍천 온천홍천에서 온천을 한다면오래된 시설이지만 물은 괜찮았던 원탕 온천목욕탕,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,부평1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,부산,남구,용호1동,
남원드래곤,전라도 골프 드래곤레이크cc 2박3일 남원 골프라운드 후기,F,3,"판매직 (상점점원, 보험설계사, 노점상)",400~499만원,예    ,자녀 없음 ,오피스텔,인천,계양구,계산동,
진관사,북한산 등산코스진관사 삼천사 원점코스,M,4,"자영업 (도소매업, 숙박업, 미용업)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,이천시,신둔면,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
한탄강,(포천 가볼만한 곳) 포천아트밸리 비둘기낭폭포 한탄강 하늘다리 : 네이버 블로그,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,아니오,          ,기타 ,충남,태안군,태안읍,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
예천삼강,대구근교 가볼만하곳 더예천 삼강문화단지위기의 삼강주막 방탈출게임,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,아파트/ 주상복합,부산,동구,수정1동,
불갑사,불갑사 상사화 개화초기 풍경불갑사상사화축제 날에는 만개할듯,M,5,,,      ,          ,,경북,영천시,야사동,
신화랑,청도 가볼만한곳 신화랑풍류마을 생각보다 알차,M,3,,,      ,          ,,부산,부산진구,전포1동,
문수사,고창 청량산 문수사,F,3,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,홍성군,홍성읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
제주용머리,제주 용머리해안 맛집 가족 식사엔 카도돈카츠,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,창원시 마산회원구,내서읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
만남의광장,하남 드림 휴게소만남의광장에 수소충전소 오픈,M,4,,,      ,          ,,경기,수원시 권선구,세류1동,
왜목마을,당진당일치기 3 왜목마을 해수욕장 산책 잠깐 들리기 좋은 코스,F,2,,,      ,          ,,경기,부천시 소사구,송내2동,
고석정,고석정 : 네이버 플레이스,M,4,,,      ,          ,,경기,이천시,갈산동,
돈내코,제주 원앙폭포 신비함을 느끼고 싶다면 꼭 돈내코,M,5,,,      ,          ,,서울,강동구,길동,
마차탄광문화촌,영월여행  강원도 탄광문화촌 단양영월 2박3일 여행,F,4,,,      ,          ,,충남,천안시 서북구,두정동,
한탄강,철원 가볼만한곳 고석정 한탄강 부교 걷기 : 네이버 블로그,F,4,"자영업 (도소매업, 숙박업, 미용업)",,      ,          ,,경기,고양시 일산서구,일산1동,
무릉계곡,단풍따라 흐르는 가을여행 - 6. 무릉계곡 여행,M,5,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,예    ,자녀 있음 ,단독주택,경기,광명시,철산2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
광덕계곡,즐거운 와인딩 코스 여우고개  백운계곡  광덕계곡  도마치재 M으로 지지기,M,4,,,      ,          ,,인천,계양구,귤현동,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,4,,,      ,          ,,서울,성동구,금호동3가,
삼척해수욕장,삼척여행 Part1삼척 하얀낭만펜션일미어담삼척해변,F,2,,,      ,          ,,서울,구로구,개봉2동,
춘장대해수욕장,춘장대 해수욕장과 홍원항 쭈꾸미낚시 풍경,M,5,,,      ,          ,,서울,영등포구,신길4동,
아산온천,아산온천 당일치기 겨울여행 아산스파비스캠마녀의 나댕김 20191124,M,5,"관리직 (사장, 간부, 고위공무원)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경북,포항시 북구,항구동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
남당,1130 남당피싱 워너비호 먼바다 우럭 낚시체험 인건가,F,5,"판매직 (상점점원, 보험설계사, 노점상)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남동구,논현동,"경차 (모닝, 스파크 등)"
개암사,부안 개암사 그리고 개암제 나들이,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,금곡동,
예래휴양형주거,예래 휴양형 주거단지 현황과 제주도 땅 투자,M,5,,,      ,          ,,대전,대덕구,송촌동,
만남의광장,하남 드림 휴게소만남의광장에 수소충전소 오픈,F,4,,,      ,          ,,서울,송파구,가락동,
무창포해수욕장,보령 대천해수욕장과 무창포 해변,M,3,,,      ,          ,,인천,부평구,부평2동,
해남오시아노,캠핑장 추천  해남 오시아노 캠핑장,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,마포구,연남동,
혜국사,문경 주흘산 등산코스 제1관문여궁폭포혜국사주봉 원점회귀 산행,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 장안구,파장동,
한탄강,한탄강 유원지 : 네이버 플레이스 검색 결과,M,2,,,      ,          ,,경기,김포시,양촌면,
담양호,담양호 용마루길따라 과녁바위산을 돌아오는 트레킹코스,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
팜파스종합휴양,팜파스종합휴양관광단지,M,2,,,      ,          ,,광주,동구,궁동,
봉개휴양림,제주교래자연휴양림 큰지그리오름 봉개음식물처리장 냄새 최악,F,3,기타 ,500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,달서구,본리동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
개척사,미국 개척사에 두드러진 두 청년,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,단독주택,서울,송파구,석촌동,
울산강동,울산 강동 화암 주상절리 예술작품 같은 일출,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서대문구,북가좌동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
청량사,가야산국립공원남산제일봉 청량사 원점회귀 등산코스,F,5,"판매직 (상점점원, 보험설계사, 노점상)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,금천구,시흥3동,
한탄강,한탄강관광지 : 네이버 통합검색,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,경기,수원시 영통구,매탄3동,
미륵사,225억 들여 복원한 미륵사지 석탑 - 엽기사진실 - 이종격투기,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,오피스텔,경기,군포시,금정동,
송정,부산 송정 맛집 알찬 전복영양밥 한그릇,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,오피스텔,대전,유성구,궁동,
평택호,평택호텔  그랜드호텔 평택호 뷰를 볼 수 있는 호텔 추천,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,성남시 분당구,서현동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
태조산,천안 태조산421m  흑성산519m,F,5,,,      ,          ,,경기,성남시 분당구,수내3동,
강원송지호,송지호 오토캠핑에서 여름휴가를,M,3,,,      ,          ,,서울,송파구,신천동,
증평에듀팜특구,SNS기자단 기고 해외 관광객도 즐길 충북의 명소 증평 에듀팜 관광특구,F,5,,,      ,          ,,서울,서초구,양재1동,
고령부례,고령부례관광지 카라반  대구근교카라반,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,반송동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
소림사,허난성 소림사 상표 : 네이버 통합검색,M,4,,,      ,          ,,경북,김천시,교동,
장흥,서울 근교 장흥 참숯가마 고구마 구워 먹고 놀기 좋아,M,5,,,      ,          ,,서울,강북구,삼양동,
합천보조댐,경상남도 산책길  합천 가볼만한곳 산책하며 데이트하기 좋은 길 합천 보조댐 수변생태 탐방로,M,4,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,강남구,압구정동,"대형차 (제너시스, BMW5급 등)"
청도온천,청도 온천갑니다용,F,4,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,삼성2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
문수사,고창 청량산 문수사,F,2,,,      ,          ,,강원,춘천시,소양로2가,
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,F,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,단독주택,광주,북구,용봉동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산정호수,고요하게 당신과 걷습니다 / 비둘기낭폭포 + 산정호수 + 포천아트밸리 : 네이버 포스트,F,5,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 일산동구,장항동,"경차 (모닝, 스파크 등)"
율포해수욕장,전라도1박2일여행여수낭만포차 율포해수욕장 광한루원,F,4,,,      ,          ,,경기,시흥시,정왕동,
신화역사공원,제주 신화역사공원 홍차 카페 다만프레르,M,4,,,      ,          ,,인천,서구,가좌2동,
정남진우산도,정남진 장흥 물 축제 여행 정남진 전망대 위대한 영웅 안중근을 만나다,F,3,,,      ,          ,,경기,양평군,강상면,
보적사,나홀로 가을 산행  독산성 세마대지 보적사 다녀오기,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,도봉구,창1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
돌문화공원, 제주여행제주관광  제주 돌문화공원,M,5,"교직 (교사, 유치원교사, 학원강사)",800~899만원,예    ,자녀 있음 ,단독주택,울산,중구,남외동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
돈내코,제주 원앙폭포 신비함을 느끼고 싶다면 꼭 돈내코,F,5,"교직 (교사, 유치원교사, 학원강사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,상계6.7동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
태종대,부산 해동용궁사와 태종대로 효도관광,M,4,,,      ,          ,,서울,성북구,길음동,
영국사,충북 영동 가볼만한곳 천태산 영국사,M,5,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,군포시,수리동,"프리미엄 (에쿠스, BMW7급 등)"
백제가요정읍사,백제의 가요 정읍사 망한가로 새롭게 태어나다,M,4,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,동대문구,장안2동,
산정호수,고요하게 당신과 걷습니다 / 비둘기낭폭포 + 산정호수 + 포천아트밸리 : 네이버 포스트,F,5,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,금천구,독산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
영월온천,201707387001 영월군 영월읍 심옥리 영월온천,F,2,무직,900~999만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,금천구,가산동,
안면도,충남 태안 가볼만한곳 안면도 자연휴양림 무장애 나눔길,M,2,"학생 (초중고학생, 대학생, 대학원생)",700~799만원,아니오,          ,아파트/ 주상복합,충북,청주시 상당구,금천동,
흥덕사,흥덕사 백운문화한마당 참석,M,4,,,      ,          ,,울산,남구,야음동,
한탄강,철원 가볼만한곳 고석정 한탄강 부교 걷기 : 네이버 블로그,F,3,,,      ,          ,,전북,전주시 완산구,중노송동,
성기동,영암 왕인박사 유적지   3 성기동 성천,F,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,군포시,산본1동,
미륵사,<익산시> 유네스코 세계문화유산 백제역사유적지구 익산 미륵사지를 찾다 : 네이버 블로그,M,2,,,      ,          ,,서울,관악구,봉천동,
창원구산해양,창원 마산 외곽 구산카페  통통 오션뷰카페,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
홍길동테마파크,장성 홍길동 테마파크 반가운 지인들과의 카라반 캠핑,M,2,,,      ,          ,,경기,부천시 소사구,괴안동,
당항포,첫 캠핑 - 고성 당항포 오토캠핑장 : 네이버 블로그,M,5,,,      ,          ,,경기,수원시 권선구,권선동,
성산포해양,설 구정에 어머니와 함께 성산포 성당 광치기해변 제주해양동물박물관 겨울 유채꽃 2월 제주,M,5,,,      ,          ,,경기,안산시 단원구,원곡2동,
문수사,고창 청량산 문수사,M,5,,,      ,          ,,경기,부천시 원미구,상동,
율포해수욕장,전라도1박2일여행여수낭만포차 율포해수욕장 광한루원,M,5,,,      ,          ,,경기,부천시 원미구,상동,
예안현,조식 유두류산록 이황,F,2,,,      ,          ,,광주,북구,오치1동,
해운대,부산선인장 부산선인장농장 청하각선인장 부산개업화분 해운대선인장 선인장도매 플랜테리어식물 : 네이버 블로그,F,4,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,광주,서구,풍암동,
임진각,파주관광지추천 아이들과 갈만한곳 임진각 평화누리공원,F,2,,,      ,          ,,충북,청주시 흥덕구,개신동,
강화종합리조트,강화 길상면  강화씨사이드리조트강화도루지,M,3,,,      ,          ,,인천,서구,불로동,
오토테마파크,야경이 멋있는 합천 휴테마파크 오토캠핑장,F,5,"주부 (전업주부, 파트타임 근무 주부)",100만원 미만,예    ,자녀 있음 ,단독주택,경북,경주시,산내면,
당항포,첫 캠핑 - 고성 당항포 오토캠핑장 : 네이버 블로그,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
일심사,오이타 여행 코스벚꽃 운해 잇신지일심사,M,3,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,중랑구,묵1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
라비에벨,부천예식장 라비에벨웨딩 기억에 많이 남을 것 같아요,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성북구,동소문동4가,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
경주보문,경주 단풍 보문단지 산책 with 무지개,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,성거읍,
알펜시아,강원도여행 평창 알펜시아 홀리데이인스위트 투베드룸과 오션700 워터파크,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,구로구,오류동,
곽지,제주여행 곽지해변에서 한담공원 멋진뷰,F,3,"서비스직 (요식업, 숙박업, 미용실종업원)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,부평구,갈산동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
강원호반,좋은 터 길라잡이(풍수문의 풍수강의),M,3,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",100~199만원,아니오,          ,오피스텔,경기,부천시 원미구,상동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
일심사,오이타 여행 코스벚꽃 운해 잇신지일심사,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,단독주택,서울,노원구,상계1동,
영암바둑테마파크,영암 가볼만한곳  월출산 기찬랜드 가야금산조 테마공원,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,아파트/ 주상복합,경북,포항시 북구,환호동,
한탄강,포천 가볼만한곳 한탄강 하늘다리 비둘기낭 폭포 : 네이버 블로그,F,2,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,아니오,          ,아파트/ 주상복합,경기,군포시,궁내동,
소요산,소요산 등산코스  소요산역자재암선녀탕의상대원점회귀 3시간,M,5,,,      ,          ,,서울,강서구,염창동,
청룡사,191119 안성 서운산 산행청룡사주차장청룡사정상 왕복코스 끝물 단풍 감상하기,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,효자동1가,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
운주사,화순 운주사,F,4,,,      ,          ,,서울,마포구,아현동,
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,M,2,,,      ,          ,,인천,남동구,구월1동,
성산포해양,설 구정에 어머니와 함께 성산포 성당 광치기해변 제주해양동물박물관 겨울 유채꽃 2월 제주,M,2,,,      ,          ,,경기,시흥시,정왕동,
금월봉,제천1박2일2일차동산분식 덩실분식 제천청풍호모노레일 비봉산전망대 청풍호반케이블카 금월봉석갈비,F,4,,,      ,          ,,대구,수성구,황금1동,
남원드래곤,전라도 골프 드래곤레이크cc 2박3일 남원 골프라운드 후기,M,3,,,      ,          ,,경기,수원시 팔달구,우만동,
산정호수,산정호수 : 네이버 지식백과검색,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",800~899만원,아니오,          ,아파트/ 주상복합,대구,북구,노원동2가,
계림사,김천 동부리 마애지장보살좌상 계림사 석조나한좌상,F,5,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강서구,내발산동,
홍길동테마파크,장성 홍길동 테마파크 반가운 지인들과의 카라반 캠핑,M,4,무직,200~299만원,아니오,          ,단독주택,경북,경산시,옥산동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
삼포문암,고성  삼포문암진해변 개발,F,4,,,      ,          ,,서울,강남구,논현동,
안면도,해루질 - 안면도 2016년 3월25일 금요일 황도 커플여행 이벤트 낙지잡이 해삼잡이 하던날. : 네이버 블로그,M,2,,,      ,          ,,충남,아산시,배방읍,
원주더네이처,원주문막읍 대규모 관광단지 4년만에 재추진,M,5,"관리직 (사장, 간부, 고위공무원)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,하남시,망월동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
지장사,방탄소년단 정국 지장사 직원분이 알려준 꾹이 비하인드스토리,M,2,,,      ,          ,,서울,영등포구,신길1동,
한탄강,포천한탄강하늘다리 : 네이버 통합검색,M,5,,,      ,          ,,서울,강남구,개포1동,
성류굴,울진 금강소나무 숲길 트레킹울진 성류굴,M,2,,,      ,          ,,서울,광진구,자양동,
구문소,억년의 세월이 빚은 비경 태백팔경 구문소,F,4,,,      ,          ,,서울,동대문구,청량리동,
용담사,안동물놀이할만한곳안동계곡길안계곡길안용담사 근처 계곡으로 물놀이다녀왔어요,M,3,,,      ,          ,,전북,군산시,산북동,
산정호수,고요하게 당신과 걷습니다 / 비둘기낭폭포 + 산정호수 + 포천아트밸리 : 네이버 포스트,M,2,,,      ,          ,,광주,북구,용봉동,
고래불,해파랑길 트레킹 제23코스 고래불 후포항,M,5,기타 ,600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,감정동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
추암,해파랑길 트레킹 제32코스 한재밑 추암,M,5,,,      ,          ,,경기,안산시 상록구,본오동,
문경온천,불정자연휴양림 문경온천 여행 ,M,5,,,      ,          ,,대구,달서구,용산동,
거제남부,거제 남부 해변길 걷기함목다대다포천장산여차여차홍포전망대홍포대포근포근포마을명사저구항,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,과천시,원문동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
다덕약수,봉화 약수식당  다덕약수 로 만든 토종닭백숙,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,기타 ,경기,수원시 영통구,영통동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
김녕해수욕장,제주도 바다 색이 아름다운 김녕해수욕장 물놀이,M,4,기타 ,300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,하남시,망월동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
남원,국내여행  남원숙소 너무 좋았던 에어비앤비 수곡당,F,5,"교직 (교사, 유치원교사, 학원강사)",300~399만원,아니오,          ,아파트/ 주상복합,서울,마포구,성산2동,
용문산,양평 용문산 관광단지와 용문사 은행나무,M,4,,,      ,          ,,서울,강서구,화곡본동,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,4,,,      ,          ,,경기,수원시 영통구,영통동,
운암사,비라칸사스와 함께한 광양 운암사,F,3,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,중구,오류동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
장호,장호비치캠핑장 삼척여행,M,5,,,      ,          ,,울산,중구,반구2동,
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동대문구,이문2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
해운대,부산선인장 대형선인장 부산개업화분 청하각 해운대개업화분 석대식물나라 식물나라와선인장 : 네이버 블로그,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 처인구,역북동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
설악한화리조트,강원도 속초여행 물놀이 먹거리 놀거리 가능한 설악 한화리조트,M,4,,,      ,          ,,서울,동작구,대방동,
