선호관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
만남의광장,하남 드림 휴게소만남의광장에 수소충전소 오픈,M,4,,,      ,          ,,경기,수원시 권선구,세류1동,
왜목마을,당진당일치기 3 왜목마을 해수욕장 산책 잠깐 들리기 좋은 코스,F,2,,,      ,          ,,경기,부천시 소사구,송내2동,
증평에듀팜특구,SNS기자단 기고 해외 관광객도 즐길 충북의 명소 증평 에듀팜 관광특구,F,5,,,      ,          ,,서울,서초구,양재1동,
용호씨사이드,부산 용호동 씨사이드 분쟁 부산시 관광지 취소 경고,M,5,,,      ,          ,,서울,강남구,논현2동,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,5,"교직 (교사, 유치원교사, 학원강사)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,동래구,낙민동,
함덕해안,제주 바다가 보이는 카페제주도 조천함덕해안도로 바람과바다,M,2,,,      ,          ,,경북,경산시,옥곡동,
프로젝트ECO,애월 봉성리 프로젝트ECO조성사업,M,2,,,      ,          ,,경북,경산시,옥곡동,
다덕약수,봉화 약수식당  다덕약수 로 만든 토종닭백숙,F,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,거여2동,"대형차 (제너시스, BMW5급 등)"
고석정,고석정 : 네이버 플레이스,M,4,,,      ,          ,,경기,이천시,갈산동,
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동대문구,이문2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
한탄강,철원 가볼만한곳 고석정 한탄강 부교 걷기 : 네이버 블로그,F,3,,,      ,          ,,전북,전주시 완산구,중노송동,
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,M,2,,,      ,          ,,인천,남동구,구월1동,
돈내코,제주 원앙폭포 신비함을 느끼고 싶다면 꼭 돈내코,M,5,,,      ,          ,,서울,강동구,길동,
마차탄광문화촌,영월여행  강원도 탄광문화촌 단양영월 2박3일 여행,F,4,,,      ,          ,,충남,천안시 서북구,두정동,
한탄강,철원 가볼만한곳 고석정 한탄강 부교 걷기 : 네이버 블로그,F,4,"자영업 (도소매업, 숙박업, 미용업)",,      ,          ,,경기,고양시 일산서구,일산1동,
미탄마하생태,대한민국 대표 관광지 강원도 강원도 관광지 현황은,F,4,,,      ,          ,,서울,구로구,개봉2동,
한탄강,포천 가볼만한곳 한탄강 하늘다리 비둘기낭 폭포 : 네이버 블로그,F,3,,,      ,          ,,인천,남동구,간석3동,
고령부례,고령부례관광지 카라반  대구근교카라반,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,반송동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
소림사,허난성 소림사 상표 : 네이버 통합검색,M,4,,,      ,          ,,경북,김천시,교동,
성기동,영암 왕인박사 유적지   3 성기동 성천,F,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,군포시,산본1동,
무릉계곡,단풍따라 흐르는 가을여행 - 6. 무릉계곡 여행,M,5,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,예    ,자녀 있음 ,단독주택,경기,광명시,철산2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
당항포,경남 고성 가볼만한곳 공룡엑스포가 펼쳐지는 당항포 관광단지,M,5,,,      ,          ,,서울,강북구,삼양동,
장흥,서울 근교 장흥 참숯가마 고구마 구워 먹고 놀기 좋아,M,5,,,      ,          ,,서울,강북구,삼양동,
장호,장호비치캠핑장 삼척여행,F,5,,,      ,          ,,서울,동작구,흑석동,
해운대,부산선인장 대형선인장 부산개업화분 청하각 해운대개업화분 석대식물나라 식물나라와선인장 : 네이버 블로그,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 처인구,역북동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
미륵사,<익산시> 유네스코 세계문화유산 백제역사유적지구 익산 미륵사지를 찾다 : 네이버 블로그,M,2,,,      ,          ,,서울,관악구,봉천동,
흥덕사,흥덕사 백운문화한마당 참석,M,2,,,      ,          ,,서울,관악구,봉천동,
광덕계곡,즐거운 와인딩 코스 여우고개  백운계곡  광덕계곡  도마치재 M으로 지지기,M,4,,,      ,          ,,인천,계양구,귤현동,
성산포해양,설 구정에 어머니와 함께 성산포 성당 광치기해변 제주해양동물박물관 겨울 유채꽃 2월 제주,M,2,,,      ,          ,,경기,시흥시,정왕동,
벽골제,놀거리가 가득한 곳  김제 벽골제,F,2,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,경기,남양주시,별내면,
금월봉,제천1박2일2일차동산분식 덩실분식 제천청풍호모노레일 비봉산전망대 청풍호반케이블카 금월봉석갈비,F,4,,,      ,          ,,대구,수성구,황금1동,
한탄강,포천한탄강하늘다리 : 네이버 통합검색,M,2,,,      ,          ,,서울,중구,신당2동,
설악한화리조트,강원도 속초여행 물놀이 먹거리 놀거리 가능한 설악 한화리조트,M,4,,,      ,          ,,서울,동작구,대방동,
남원드래곤,전라도 골프 드래곤레이크cc 2박3일 남원 골프라운드 후기,M,3,,,      ,          ,,경기,수원시 팔달구,우만동,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,4,,,      ,          ,,서울,성동구,금호동3가,
산정호수,산정호수 : 네이버 지식백과검색,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",800~899만원,아니오,          ,아파트/ 주상복합,대구,북구,노원동2가,
삼척해수욕장,삼척여행 Part1삼척 하얀낭만펜션일미어담삼척해변,F,2,,,      ,          ,,서울,구로구,개봉2동,
협재해안,나혼자산다수요미식회 맛집 제주 협재해안 수우동,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,단독주택,경기,남양주시,와부읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
계림사,김천 동부리 마애지장보살좌상 계림사 석조나한좌상,F,5,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강서구,내발산동,
돌문화공원, 제주여행제주관광  제주 돌문화공원,M,2,,,      ,          ,,인천,계양구,병방동,
창원구산해양,창원 마산 외곽 구산카페  통통 오션뷰카페,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
주왕산,주왕산 국립공원 만추의 주왕산 탐방,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 수지구,풍덕천1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
왜목마을,당진당일치기 3 왜목마을 해수욕장 산책 잠깐 들리기 좋은 코스,F,2,,,      ,          ,,서울,강동구,명일2동,
홍길동테마파크,장성 홍길동 테마파크 반가운 지인들과의 카라반 캠핑,M,2,,,      ,          ,,경기,부천시 소사구,괴안동,
합천보조댐,경상남도 산책길  합천 가볼만한곳 산책하며 데이트하기 좋은 길 합천 보조댐 수변생태 탐방로,M,4,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,강남구,압구정동,"대형차 (제너시스, BMW5급 등)"
당항포,첫 캠핑 - 고성 당항포 오토캠핑장 : 네이버 블로그,M,5,,,      ,          ,,경기,수원시 권선구,권선동,
홍길동테마파크,장성 홍길동 테마파크 반가운 지인들과의 카라반 캠핑,M,4,무직,200~299만원,아니오,          ,단독주택,경북,경산시,옥산동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
삼포문암,고성  삼포문암진해변 개발,F,4,,,      ,          ,,서울,강남구,논현동,
신륵사,여주 가볼만한곳 색색의 연등이 예쁜 신륵사,M,3,,,      ,          ,,경기,광주시,오포읍,
춘장대해수욕장,춘장대 해수욕장과 홍원항 쭈꾸미낚시 풍경,M,5,,,      ,          ,,서울,영등포구,신길4동,
모악산,100대명산  모악산  84130,M,4,,,      ,          ,,전남,화순군,화순읍,
제주남원,최고라고 말하고싶은 제주 남원 맛집,M,3,,,      ,          ,,경기,안양시 만안구,안양6동,
안면도,안면도 갈만한곳 : 네이버 통합검색,M,4,,,      ,          ,,경기,포천시,신북면,
성산포해양,설 구정에 어머니와 함께 성산포 성당 광치기해변 제주해양동물박물관 겨울 유채꽃 2월 제주,M,5,,,      ,          ,,경기,안산시 단원구,원곡2동,
평택호,평택호텔  그랜드호텔 평택호 뷰를 볼 수 있는 호텔 추천,F,2,,,      ,          ,,전북,익산시,부송동,
한탄강,포천 가볼만한곳 한탄강 하늘다리 비둘기낭 폭포 : 네이버 블로그,F,4,,,      ,          ,,경기,남양주시,평내동,
계림사,김천 동부리 마애지장보살좌상 계림사 석조나한좌상,M,4,,,      ,          ,,경기,안성시,대덕면,
땅끝,2018. 단풍따라 흐르는 가을여행 - 14. 토말. 땅끝마을,F,5,,,      ,          ,,서울,서대문구,홍은2동,
아산온천,아산온천 당일치기 겨울여행 아산스파비스캠마녀의 나댕김 20191124,M,5,"관리직 (사장, 간부, 고위공무원)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경북,포항시 북구,항구동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
안면도,해루질 - 안면도 2016년 3월25일 금요일 황도 커플여행 이벤트 낙지잡이 해삼잡이 하던날. : 네이버 블로그,M,2,,,      ,          ,,충남,아산시,배방읍,
원주더네이처,원주문막읍 대규모 관광단지 4년만에 재추진,M,5,"관리직 (사장, 간부, 고위공무원)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,하남시,망월동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
흥룡사,포천여행 백운산 자락에 있는 흑룡사,M,5,,,      ,          ,,경기,고양시 덕양구,토당동,
문수사,고창 청량산 문수사,M,5,,,      ,          ,,경기,부천시 원미구,상동,
율포해수욕장,전라도1박2일여행여수낭만포차 율포해수욕장 광한루원,M,5,,,      ,          ,,경기,부천시 원미구,상동,
회산연꽃방죽,일로읍 회산연꽃방죽이야기회산백련지연꽃나들이목포꽃집목포꽃배달 남악꽃배달 일로꽃배달무안꽃배달,F,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,이천시,대월면,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
청도온천,청도 온천갑니다용,F,4,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,삼성2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
보덕사,보덕사 예산,M,4,,,      ,          ,,경기,파주시,야동동,
문수사,고창 청량산 문수사,F,2,,,      ,          ,,강원,춘천시,소양로2가,
남당,1130 남당피싱 워너비호 먼바다 우럭 낚시체험 인건가,F,5,"판매직 (상점점원, 보험설계사, 노점상)",100~199만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남동구,논현동,"경차 (모닝, 스파크 등)"
맹방,강원도 삼척 맹방해수욕장 당일치기 여행,F,3,,,      ,          ,,인천,계양구,작전1동,
한탄강,포천 나들이 비둘기낭폭포 / 한탄강하늘다리 / 계류리예술창고 : 네이버 블로그,F,2,,,      ,          ,,전북,익산시,어양동,
팔봉산,191117 홍천 팔봉산 블랙야크100대명산 산림청100대명산 한국의산하인기100산,M,4,,,      ,          ,,경기,안산시 상록구,사2동,
증평에듀팜특구,SNS기자단 기고 해외 관광객도 즐길 충북의 명소 증평 에듀팜 관광특구,M,3,,,      ,          ,,서울,노원구,중계2.3동,
당항포,첫 캠핑 - 고성 당항포 오토캠핑장 : 네이버 블로그,M,4,"관리직 (사장, 간부, 고위공무원)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,울산,울주군,범서읍,"경차 (모닝, 스파크 등)"
지장사,방탄소년단 정국 지장사 직원분이 알려준 꾹이 비하인드스토리,M,2,,,      ,          ,,서울,영등포구,신길1동,
예안현,조식 유두류산록 이황,F,2,,,      ,          ,,광주,북구,오치1동,
해운대,부산선인장 부산선인장농장 청하각선인장 부산개업화분 해운대선인장 선인장도매 플랜테리어식물 : 네이버 블로그,F,4,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,광주,서구,풍암동,
개암사,부안 개암사 그리고 개암제 나들이,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,금곡동,
정남진우산도,정남진 장흥 물 축제 여행 정남진 전망대 위대한 영웅 안중근을 만나다,M,3,,,      ,          ,,경기,고양시 덕양구,행신2동,
약수암,도당산시사재 대광사 약수암,F,3,,,      ,          ,,서울,은평구,불광1동,
예래휴양형주거,예래 휴양형 주거단지 현황과 제주도 땅 투자,M,5,,,      ,          ,,대전,대덕구,송촌동,
만남의광장,하남 드림 휴게소만남의광장에 수소충전소 오픈,F,4,,,      ,          ,,서울,송파구,가락동,
무창포해수욕장,보령 대천해수욕장과 무창포 해변,M,3,,,      ,          ,,인천,부평구,부평2동,
어답산,20190728일 횡성 어답산횡성온천선바위장송어답산 장군봉병지방계곡,F,4,,,      ,          ,,서울,성북구,정릉1동,
화진포,강원도 고성 여행  화진포 신서유기에도 나왔네요,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,오피스텔,서울,영등포구,양평동2가,
미천굴,제주 일출랜드 그리고 미천굴,F,2,,,      ,          ,,울산,남구,무거동,
오전약수,태백산에 싸여있는 봉화군 물야 오전약수,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,동래구,낙민동,"소형SUV/CUV (티볼리, QM3 등)"
해남사,해남사 양대응 스님,F,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,사당1동,
화암사,화암사 숲길 신선대에서 바라보는 울산바위,M,3,,,      ,          ,,대구,북구,대현동,
한탄강,포천한탄강하늘다리 : 네이버 통합검색,M,3,,,      ,          ,,대구,북구,대현동,
한탄강,포천한탄강하늘다리 : 네이버 통합검색,M,5,,,      ,          ,,서울,강남구,개포1동,
신정호,신정호축제 : 네이버 통합검색,F,5,,,      ,          ,,서울,노원구,상계1동,
임진각,파주관광지추천 아이들과 갈만한곳 임진각 평화누리공원,F,2,,,      ,          ,,충북,청주시 흥덕구,개신동,
성류굴,울진 금강소나무 숲길 트레킹울진 성류굴,M,2,,,      ,          ,,서울,광진구,자양동,
구문소,억년의 세월이 빚은 비경 태백팔경 구문소,F,4,,,      ,          ,,서울,동대문구,청량리동,
합천보조댐,경상남도 산책길  합천 가볼만한곳 산책하며 데이트하기 좋은 길 합천 보조댐 수변생태 탐방로,M,3,,,      ,          ,,서울,강남구,개포동,
강화종합리조트,강화 길상면  강화씨사이드리조트강화도루지,M,3,,,      ,          ,,인천,서구,불로동,
해남오시아노,캠핑장 추천  해남 오시아노 캠핑장,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,마포구,연남동,
고석정,고석정 : 네이버 통합검색,F,3,,,      ,          ,,충남,홍성군,홍북면,
대천해수욕장,대천해수욕장 짚라인 타고 스카이라운지에서 커피한잔,F,5,,,      ,          ,,서울,강북구,번1동,
마우나오션,LPGA가 열렸던 마우나오션cc로 가을골프 다녀왔어요,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,암사3동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
충주호체험,충주호 유람선 체험,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,경기,성남시 분당구,이매동,
진관사,북한산 등산코스진관사 삼천사 원점코스,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 장안구,파장동,
혜국사,문경 주흘산 등산코스 제1관문여궁폭포혜국사주봉 원점회귀 산행,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 장안구,파장동,
백암온천,백암온천 백암LG생활연수원 숙소에서  백암산 백암폭포가는 길 백암폭포 백암온천,F,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,단독주택,광주,북구,용봉동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산정호수,고요하게 당신과 걷습니다 / 비둘기낭폭포 + 산정호수 + 포천아트밸리 : 네이버 포스트,F,5,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 일산동구,장항동,"경차 (모닝, 스파크 등)"
한탄강,(포천 가볼만한 곳) 포천아트밸리 비둘기낭폭포 한탄강 하늘다리 : 네이버 블로그,M,5,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,자곡동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
미륵사,익산 미륵사지,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,영등포본동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
고석정,고석정 : 네이버 통합검색,F,5,"주부 (전업주부, 파트타임 근무 주부)",100~199만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 장안구,조원동,
함덕해안,제주 바다가 보이는 카페제주도 조천함덕해안도로 바람과바다,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,경기,파주시,광탄면,
태조산,천안 태조산421m  흑성산519m,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,서울,강서구,화곡3동,
팔봉산,191117 홍천 팔봉산 블랙야크100대명산 산림청100대명산 한국의산하인기100산,M,3,,,      ,          ,,광주,광산구,신가동,
율포해수욕장,전라도1박2일여행여수낭만포차 율포해수욕장 광한루원,F,4,,,      ,          ,,경기,시흥시,정왕동,
한탄강,한탄강 유원지 : 네이버 플레이스 검색 결과,M,2,,,      ,          ,,경기,김포시,양촌면,
청량사,가야산국립공원남산제일봉 청량사 원점회귀 등산코스,M,4,,,      ,          ,,전북,무주군,설천면,
땅끝,2018. 단풍따라 흐르는 가을여행 - 14. 토말. 땅끝마을,M,3,,,      ,          ,,부산,남구,문현1동,
용담사,안동물놀이할만한곳안동계곡길안계곡길안용담사 근처 계곡으로 물놀이다녀왔어요,M,3,,,      ,          ,,전북,군산시,산북동,
오토테마파크,야경이 멋있는 합천 휴테마파크 오토캠핑장,F,5,"주부 (전업주부, 파트타임 근무 주부)",100만원 미만,예    ,자녀 있음 ,단독주택,경북,경주시,산내면,
산정호수,고요하게 당신과 걷습니다 / 비둘기낭폭포 + 산정호수 + 포천아트밸리 : 네이버 포스트,M,2,,,      ,          ,,광주,북구,용봉동,
청룡사,191119 안성 서운산 산행청룡사주차장청룡사정상 왕복코스 끝물 단풍 감상하기,M,2,,,      ,          ,,광주,북구,용봉동,
신정호,신정호 : 네이버 통합검색,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,강북구,수유동,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,5,,,      ,          ,,경북,군위군,부계면,
청학사,SNS 서포터즈 연수구 사찰 여행 호불사와 청학사 가을 산책,F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,단독주택,대구,동구,효목1동,"경차 (모닝, 스파크 등)"
김천온천,찜질방 데이트 김천 구미 대구 근처 온천숯가마 찜질방  성주 스파랜드u,M,5,,,      ,          ,,제주,제주시,해안동,
신화역사공원,제주 신화역사공원 홍차 카페 다만프레르,M,4,,,      ,          ,,인천,서구,가좌2동,
고래불,해파랑길 트레킹 제23코스 고래불 후포항,M,5,기타 ,600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,감정동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
담양호,담양호 용마루길따라 과녁바위산을 돌아오는 트레킹코스,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
당항포,첫 캠핑 - 고성 당항포 오토캠핑장 : 네이버 블로그,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당2동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
영수사,최종훈 경찰관... :: 네이버 뉴스영수사,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,성동구,행당동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
추암,해파랑길 트레킹 제32코스 한재밑 추암,M,5,,,      ,          ,,경기,안산시 상록구,본오동,
정남진우산도,정남진 장흥 물 축제 여행 정남진 전망대 위대한 영웅 안중근을 만나다,F,3,,,      ,          ,,경기,양평군,강상면,
미륵사,미륵사지 : 네이버 통합검색,M,4,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,시흥시,정왕동,
평창용평,평창가볼만한곳평창 용평리조트 타워콘도 와 용평 워터파크 피크아일랜드현대홈쇼핑,M,4,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,시흥시,정왕동,
일심사,오이타 여행 코스벚꽃 운해 잇신지일심사,M,3,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,중랑구,묵1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
문경온천,불정자연휴양림 문경온천 여행 ,M,5,,,      ,          ,,대구,달서구,용산동,
한탄강,(포천 가볼만한 곳) 포천아트밸리 비둘기낭폭포 한탄강 하늘다리 : 네이버 블로그,M,4,,,      ,          ,,서울,노원구,상계6.7동,
마곡온천,강화도 여행 마곡 맛집  동천  석모도미네랄온천,F,4,,,      ,          ,,서울,강남구,개포1동,
